"market_price_1","market_price_2","market_price_3","market_price_4","market_price_5","market_price_6","market_price_7","market_price_8","market_price_9","market_price_10","market_price_11","market_price_12","market_price_13","market_price_14","total_bitcoins_1","total_bitcoins_2","total_bitcoins_3","total_bitcoins_4","total_bitcoins_5","total_bitcoins_6","total_bitcoins_7","total_bitcoins_8","total_bitcoins_9","total_bitcoins_10","total_bitcoins_11","total_bitcoins_12","total_bitcoins_13","total_bitcoins_14","trade_volume_1","trade_volume_2","trade_volume_3","trade_volume_4","trade_volume_5","trade_volume_6","trade_volume_7","trade_volume_8","trade_volume_9","trade_volume_10","trade_volume_11","trade_volume_12","trade_volume_13","trade_volume_14","hash_rate_1","hash_rate_2","hash_rate_3","hash_rate_4","hash_rate_5","hash_rate_6","hash_rate_7","hash_rate_8","hash_rate_9","hash_rate_10","hash_rate_11","hash_rate_12","hash_rate_13","hash_rate_14","n_unique_addresses_1","n_unique_addresses_2","n_unique_addresses_3","n_unique_addresses_4","n_unique_addresses_5","n_unique_addresses_6","n_unique_addresses_7","n_unique_addresses_8","n_unique_addresses_9","n_unique_addresses_10","n_unique_addresses_11","n_unique_addresses_12","n_unique_addresses_13","n_unique_addresses_14","output_price"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71200.0,90850.0,101800.0,113050.0,125550.0,137700.0,150650.0,163150.0,176150.0,188900.0,201350.0,214600.0,226850.0,238950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33058806519e-6,9.64379230815e-6,5.12015777185e-6,6.06465289481e-6,6.41262478222e-6,6.31320424296e-6,6.11436316444e-6,6.41262478222e-6,6.66117613037e-6,6.31320424296e-6,5.8658118163e-6,7.00914801778e-6,6.11436316444e-6,6.16407343407e-6,68.0,195.0,105.0,122.0,129.0,127.0,129.0,129.0,135.0,127.0,119.0,141.0,123.0,124.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90850.0,101800.0,113050.0,125550.0,137700.0,150650.0,163150.0,176150.0,188900.0,201350.0,214600.0,226850.0,238950.0,251200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64379230815e-6,5.12015777185e-6,6.06465289481e-6,6.41262478222e-6,6.31320424296e-6,6.11436316444e-6,6.41262478222e-6,6.66117613037e-6,6.31320424296e-6,5.8658118163e-6,7.00914801778e-6,6.11436316444e-6,6.16407343407e-6,6.36291451259e-6,195.0,105.0,122.0,129.0,127.0,129.0,129.0,135.0,127.0,119.0,141.0,123.0,124.0,129.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101800.0,113050.0,125550.0,137700.0,150650.0,163150.0,176150.0,188900.0,201350.0,214600.0,226850.0,238950.0,251200.0,262750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12015777185e-6,6.06465289481e-6,6.41262478222e-6,6.31320424296e-6,6.11436316444e-6,6.41262478222e-6,6.66117613037e-6,6.31320424296e-6,5.8658118163e-6,7.00914801778e-6,6.11436316444e-6,6.16407343407e-6,6.36291451259e-6,6.01494262519e-6,105.0,122.0,129.0,127.0,129.0,129.0,135.0,127.0,119.0,141.0,123.0,124.0,129.0,125.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113050.0,125550.0,137700.0,150650.0,163150.0,176150.0,188900.0,201350.0,214600.0,226850.0,238950.0,251200.0,262750.0,273650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06465289481e-6,6.41262478222e-6,6.31320424296e-6,6.11436316444e-6,6.41262478222e-6,6.66117613037e-6,6.31320424296e-6,5.8658118163e-6,7.00914801778e-6,6.11436316444e-6,6.16407343407e-6,6.36291451259e-6,6.01494262519e-6,5.51783992889e-6,122.0,129.0,127.0,129.0,129.0,135.0,127.0,119.0,141.0,123.0,124.0,129.0,125.0,111.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125550.0,137700.0,150650.0,163150.0,176150.0,188900.0,201350.0,214600.0,226850.0,238950.0,251200.0,262750.0,273650.0,283800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41262478222e-6,6.31320424296e-6,6.11436316444e-6,6.41262478222e-6,6.66117613037e-6,6.31320424296e-6,5.8658118163e-6,7.00914801778e-6,6.11436316444e-6,6.16407343407e-6,6.36291451259e-6,6.01494262519e-6,5.51783992889e-6,4.77218588444e-6,129.0,127.0,129.0,129.0,135.0,127.0,119.0,141.0,123.0,124.0,129.0,125.0,111.0,96.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137700.0,150650.0,163150.0,176150.0,188900.0,201350.0,214600.0,226850.0,238950.0,251200.0,262750.0,273650.0,283800.0,295050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31320424296e-6,6.11436316444e-6,6.41262478222e-6,6.66117613037e-6,6.31320424296e-6,5.8658118163e-6,7.00914801778e-6,6.11436316444e-6,6.16407343407e-6,6.36291451259e-6,6.01494262519e-6,5.51783992889e-6,4.77218588444e-6,5.07044750222e-6,127.0,129.0,129.0,135.0,127.0,119.0,141.0,123.0,124.0,129.0,125.0,111.0,96.0,103.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150650.0,163150.0,176150.0,188900.0,201350.0,214600.0,226850.0,238950.0,251200.0,262750.0,273650.0,283800.0,295050.0,305550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11436316444e-6,6.41262478222e-6,6.66117613037e-6,6.31320424296e-6,5.8658118163e-6,7.00914801778e-6,6.11436316444e-6,6.16407343407e-6,6.36291451259e-6,6.01494262519e-6,5.51783992889e-6,4.77218588444e-6,5.07044750222e-6,5.16986804148e-6,129.0,129.0,135.0,127.0,119.0,141.0,123.0,124.0,129.0,125.0,111.0,96.0,103.0,104.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163150.0,176150.0,188900.0,201350.0,214600.0,226850.0,238950.0,251200.0,262750.0,273650.0,283800.0,295050.0,305550.0,316150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41262478222e-6,6.66117613037e-6,6.31320424296e-6,5.8658118163e-6,7.00914801778e-6,6.11436316444e-6,6.16407343407e-6,6.36291451259e-6,6.01494262519e-6,5.51783992889e-6,4.77218588444e-6,5.07044750222e-6,5.16986804148e-6,5.26928858074e-6,129.0,135.0,127.0,119.0,141.0,123.0,124.0,129.0,125.0,111.0,96.0,103.0,104.0,106.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176150.0,188900.0,201350.0,214600.0,226850.0,238950.0,251200.0,262750.0,273650.0,283800.0,295050.0,305550.0,316150.0,327350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66117613037e-6,6.31320424296e-6,5.8658118163e-6,7.00914801778e-6,6.11436316444e-6,6.16407343407e-6,6.36291451259e-6,6.01494262519e-6,5.51783992889e-6,4.77218588444e-6,5.07044750222e-6,5.16986804148e-6,5.26928858074e-6,5.8658118163e-6,135.0,127.0,119.0,141.0,123.0,124.0,129.0,125.0,111.0,96.0,103.0,104.0,106.0,119.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188900.0,201350.0,214600.0,226850.0,238950.0,251200.0,262750.0,273650.0,283800.0,295050.0,305550.0,316150.0,327350.0,338500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31320424296e-6,5.8658118163e-6,7.00914801778e-6,6.11436316444e-6,6.16407343407e-6,6.36291451259e-6,6.01494262519e-6,5.51783992889e-6,4.77218588444e-6,5.07044750222e-6,5.16986804148e-6,5.26928858074e-6,5.8658118163e-6,5.56755019852e-6,127.0,119.0,141.0,123.0,124.0,129.0,125.0,111.0,96.0,103.0,104.0,106.0,119.0,115.0,0.0
